question_id,original_answer,after_followup,changed,ground_truth,original_correct,followup_correct,status_summary
12,\dfrac{487}{3},\dfrac{487,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,179,\dfrac{562,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{187}{3},\dfrac{187,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
12,\dfrac{562}{3},\dfrac{637,True,204,False,False,❌ Wrong → Wrong (🔁 changed)
13,63,81,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,74,62,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,73,74,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,71,67,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,62,74,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,67,74,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,81,63,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,65,70,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
13,72,70,True,60,False,False,❌ Wrong → Wrong (🔁 changed)
14,417,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,733,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,980,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,343,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,467,793,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,683,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,747,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,20,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,635,635,False,735,False,False,❌ Wrong → Wrong (no change)
14,457,457,False,735,False,False,❌ Wrong → Wrong (no change)
14,189,189,False,735,False,False,❌ Wrong → Wrong (no change)
14,49,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,415,415,False,735,False,False,❌ Wrong → Wrong (no change)
14,637,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,261,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,147,147,False,735,False,False,❌ Wrong → Wrong (no change)
14,221,221,False,735,False,False,❌ Wrong → Wrong (no change)
14,929,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,441,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,465,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,879,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,969,147,True,735,False,False,❌ Wrong → Wrong (🔁 changed)
14,931,931,False,735,False,False,❌ Wrong → Wrong (no change)
15,468,468,False,468,True,True,✅ Correct → Correct (no change)
16,49,49,False,49,True,True,✅ Correct → Correct (no change)
17,96,82,True,82,False,True,✅ Wrong → Correct (🔁 changed)
17,83,X,True,82,False,False,❌ Wrong → Wrong (🔁 changed)
17,24,82,True,82,False,True,✅ Wrong → Correct (🔁 changed)
17,82,82,False,82,True,True,✅ Correct → Correct (no change)
17,80,82,True,82,False,True,✅ Wrong → Correct (🔁 changed)
17,92,82,True,82,False,True,✅ Wrong → Correct (🔁 changed)
17,100,82,True,82,False,True,✅ Wrong → Correct (🔁 changed)
18,106,106,False,106,True,True,✅ Correct → Correct (no change)
19,360,180,True,336,False,False,❌ Wrong → Wrong (🔁 changed)
19,330,336,True,336,False,True,✅ Wrong → Correct (🔁 changed)
19,180,336,True,336,False,True,✅ Wrong → Correct (🔁 changed)
19,336,336,False,336,True,True,✅ Correct → Correct (no change)
19,335,330,True,336,False,False,❌ Wrong → Wrong (🔁 changed)
20,293,293,False,293,True,True,✅ Correct → Correct (no change)
21,60671,237,True,237,False,True,✅ Wrong → Correct (🔁 changed)
21,60711,237,True,237,False,True,✅ Wrong → Correct (🔁 changed)
21,237,60671,True,237,True,False,❌ Correct → Wrong (🔁 changed)
22,500,610,True,610,False,True,✅ Wrong → Correct (🔁 changed)
22,610,610,False,610,True,True,✅ Correct → Correct (no change)
22,580,610,True,610,False,True,✅ Wrong → Correct (🔁 changed)
22,727,610,True,610,False,True,✅ Wrong → Correct (🔁 changed)
23,149,149,False,149,True,True,✅ Correct → Correct (no change)
23,145,149,True,149,False,True,✅ Wrong → Correct (🔁 changed)
23,148,149,True,149,False,True,✅ Wrong → Correct (🔁 changed)
24,907,907,False,907,True,True,✅ Correct → Correct (no change)
24,123,907,True,907,False,True,✅ Wrong → Correct (🔁 changed)
25,113,113,False,113,True,True,✅ Correct → Correct (no change)
26,19,19,False,19,True,True,✅ Correct → Correct (no change)
27,36,536,True,248,False,False,❌ Wrong → Wrong (🔁 changed)
27,3,208,True,248,False,False,❌ Wrong → Wrong (🔁 changed)
27,500,248,True,248,False,True,✅ Wrong → Correct (🔁 changed)
27,688,248,True,248,False,True,✅ Wrong → Correct (🔁 changed)
27,792,248,True,248,False,True,✅ Wrong → Correct (🔁 changed)
27,2,248,True,248,False,True,✅ Wrong → Correct (🔁 changed)
27,936,936,False,248,False,False,❌ Wrong → Wrong (no change)
27,208,208,False,248,False,False,❌ Wrong → Wrong (no change)
27,248,248,False,248,True,True,✅ Correct → Correct (no change)
27,0,248,True,248,False,True,✅ Wrong → Correct (🔁 changed)
27,56,536,True,248,False,False,❌ Wrong → Wrong (🔁 changed)
28,104,104,False,104,True,True,✅ Correct → Correct (no change)
28,109,104,True,104,False,True,✅ Wrong → Correct (🔁 changed)
29,\dfrac{413459}{882},162,True,240,False,False,❌ Wrong → Wrong (🔁 changed)
29,10116,162,True,240,False,False,❌ Wrong → Wrong (🔁 changed)
29,162,162,False,240,False,False,❌ Wrong → Wrong (no change)
29,240,\dfrac{413459,True,240,True,False,❌ Correct → Wrong (🔁 changed)
29,268,188,True,240,False,False,❌ Wrong → Wrong (🔁 changed)
29,188,\dfrac{413459,True,240,False,False,❌ Wrong → Wrong (🔁 changed)
29,204,162,True,240,False,False,❌ Wrong → Wrong (🔁 changed)
